Character name	Freebase character ID	title	filtered_descriptions	X	Y	Z	labels	Wikipedia ID	death	romance	Release date	Gender	Height	Ethnicity	Actor name	Actor age at release	Box office revenue	Genres	Name
Prabu	/m/0gz5c8g		['fall', 'ready', 'decide']	25.81116	4.9195485	-12.233079	23	6795118		False	1997.0	M	1.8	/m/029f2r	Ajith Kumar	26.0		['Drama']	Pagaivan
Uma Durairaj	/m/0j8pvrq		['fall', 'happen', 'abduct']	24.911522	5.5168667	-18.221231	23	6795118		False	1997.0	F		/m/0dryh9k	Anjala Zaveri	25.0		['Drama']	Pagaivan
Patti Mullen	/m/0h1ns2s		['sympathize', 'press', 'rely']	15.511309	-4.7337995	0.7259402	2	25625475		False	1985.0	F			Melissa Leo	25.0		['Drama']	Silent Witness
Anna Dunne	/m/0gz6x9j		['receive', 'tell', 'deal']	-13.381845	-33.808693	-7.040787	7	25625475		False	1985.0	F	1.626	/m/02ctzb	Valerie Bertinelli	25.0		['Drama']	Silent Witness
Young Will	/m/0b_vg1w		['care', 'protect', 'impale']	-9.809853	-16.857708	-1.409221	2	1393739		False	2005.0	M			Petr Ratimec		105316267.0	['Comedy', 'Thriller', 'Adventure']	The Brothers Grimm
Rose Lorkowski	/m/0bvypsw		['embarrass', 'ask', 'encounter']	6.569263	-39.84414	4.0430903	16	14142753		False	2008.0	F	1.63	/m/07hwkr	Amy Adams	33.0	15476862.0	['Drama', 'Comedy', 'Indie']	Sunshine Cleaning
David Collins	/m/02pslry		['rescue', 'son', 'father']	-23.956347	5.259156	-37.40918	8	25129766		False	2012.0	M			Gulliver McGrath	14.0	238727149.0	['Drama', 'Thriller', 'Horror']	Dark Shadows
Frank Warren	/m/0h2n0_d		['learn', 'lead', 'get']	-37.06335	7.2853703	14.068069	28	16676995		False	1991.0	M	1.85	/m/05l3g_	Rutger Hauer			['Drama', 'Action', 'Thriller']	Wedlock
Pvt. Philbrick	/m/0hnfx1l	['Private']	['become', 'discover', 'part']	-6.9305396	-0.57594645	-7.838062	2	20752962		False	1962.0	M			Robert Ball			['Comedy', 'Science Fiction', 'Alien Film']	Invasion of the Star Creatures
Trevor Gottitall	/m/0h_04n7	['kickboxer']	['taunt', 'use', 'demand']	-39.53816	-3.8113387	-11.5188875	32	2384098		False	1991.0	M			Trent Bushey			['Action', 'Chinese Movies', 'Martial Arts Film']	American Shaolin
Gao	/m/0h_04p1	['student']	['gain', 'make', 'beat']	22.741087	-37.87679	2.5924783	6	2384098		False	1991.0	M	1.727	/m/01xhh5	Daniel Dae Kim			['Action', 'Chinese Movies', 'Martial Arts Film']	American Shaolin
John Elder	/m/0gyfs2d		['get', 'unfriendly', 'brother']	13.614625	2.3004162	8.824712	2	5718787		False	1965.0	M	1.93	/m/063k3h	John Wayne	58.0		['Drama', 'Action/Adventure', 'Western']	The Sons of Katie Elder
David Langley	/m/0h5tfxy	['curator']	['hide', 'face', 'expect']	4.8569274	7.5087814	4.3565493	2	5079650		False	1997.0	M	1.7272		Peter MacNicol	43.0	251212670.0	['Comedy', 'Family Film', 'Slapstick']	Bean
George Grierson	/m/0h5tfxq	['scholar', 'boss']	['dinner', 'bos', 'scholar']	1.8257488	12.599497	47.394867	22	5079650		False	1997.0	M	1.8		Harris Yulin	59.0	251212670.0	['Comedy', 'Family Film', 'Slapstick']	Bean
George Grierson	/m/0h5tfxq	['scholar', 'boss']	['dinner', 'bos', 'scholar']	1.8257488	12.599497	47.394867	22	5079650		False	1997.0	M	1.8		Harris Yulin	59.0	251212670.0	['Comedy', 'Family Film', 'Slapstick']	Bean
Brian	/m/0h772y_		['agree', 'support', 'convince']	-22.55912	24.450788	-14.522151	9	35795053		False	2011.0	M	1.75		Andrew McCarthy	48.0		['Comedy film', 'Musical', 'Buddy film']	The Brooklyn Brothers Beat the Best
Tucker	/m/0gxn3hz		['fail', 'tell', 'fear']	-21.17716	4.52394	-30.739988	8	26255812		False	2010.0	M	1.83		Alan Tudyk	38.0	4749516.0	['Comedy', 'Horror']	Tucker & Dale vs Evil
Dale	/m/0gxn3hw		['try', 'stop', 'free']	-21.28026	6.887546	-32.487015	8	26255812		False	2010.0	M	1.82		Tyler Labine	31.0	4749516.0	['Comedy', 'Horror']	Tucker & Dale vs Evil
